"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_april_BC01.cladeReads"	"kraken2_classification_april_BC02.cladeReads"	"kraken2_classification_april_BC03.cladeReads"	"kraken2_classification_april_BC04.cladeReads"	"kraken2_classification_april_BC05.cladeReads"	"kraken2_classification_april_BC06.cladeReads"	"kraken2_classification_april_BC07.cladeReads"	"kraken2_classification_april_BC08.cladeReads"	"kraken2_classification_april_BC09.cladeReads"	"kraken2_classification_april_BC10.cladeReads"	"kraken2_classification_april_BC11.cladeReads"	"kraken2_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_classification_april_BC01.cladeReads.."	"kraken2_classification_april_BC02.cladeReads.."	"kraken2_classification_april_BC03.cladeReads.."	"kraken2_classification_april_BC04.cladeReads.."	"kraken2_classification_april_BC05.cladeReads.."	"kraken2_classification_april_BC06.cladeReads.."	"kraken2_classification_april_BC07.cladeReads.."	"kraken2_classification_april_BC08.cladeReads.."	"kraken2_classification_april_BC09.cladeReads.."	"kraken2_classification_april_BC10.cladeReads.."	"kraken2_classification_april_BC11.cladeReads.."	"kraken2_classification_april_BC12.cladeReads.."	"lineage"
"Limnohabitans sp. 103DPR2"	"S"	1678129	14862	595	1364	5983	5820	32	6686	12746	39	7900	14862	7777	7	8.286	4.231	8.286	2.611	1.738	2.996	3.244	5.412	0.01009	3.347	4.751	3.73	2.029	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Acidovorax"	"G"	12916	35540	1006	2147	11285	6993	58	8176	15206	70	9381	35540	10937	12	13.04	7.153	13.04	4.925	2.088	5.431	3.966	6.456	0.01812	3.974	11.36	5.245	3.478	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Acidovorax carolinensis"	"S"	553814	31179	887	1866	9573	5940	43	6949	12877	61	8128	31179	9485	11	11.34	6.307	11.34	4.178	1.773	4.026	3.371	5.467	0.01579	3.443	9.966	4.549	3.188	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae"	"S"	80867	3963	116	271	1592	995	13	1144	2128	9	1192	3963	1356	1	1.646	0.8248	1.646	0.6947	0.297	1.217	0.555	0.9035	0.002329	0.505	1.267	0.6503	0.2899	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. 1608163"	"S"	2478662	119	3	8	26	30	NA	26	42	NA	37	119	33	NA	0.0486	0.02133	0.0486	0.01135	0.008956	NA	0.01261	0.01783	NA	0.01568	0.03804	0.01583	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Rhodoferax"	"G"	28065	14254	560	1168	5080	3816	21	4656	9799	43	4415	14254	5983	5	7.095	3.982	7.095	2.217	1.139	1.966	2.259	4.16	0.01113	1.87	4.556	2.869	1.449	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Rhodoferax ferrireducens"	"S"	192843	4416	140	264	1263	1205	6	1369	3199	13	1335	4416	1890	3	1.604	0.9954	1.604	0.5512	0.3597	0.5618	0.6641	1.358	0.003365	0.5656	1.412	0.9064	0.8696	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax antarcticus"	"S"	81479	3438	130	203	1172	821	4	891	1594	9	952	3438	1271	1	1.233	0.9243	1.233	0.5114	0.2451	0.3745	0.4323	0.6768	0.002329	0.4033	1.099	0.6096	0.2899	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax saidenbachensis"	"S"	1484693	271	16	21	182	74	1	81	110	1	60	271	75	NA	0.1276	0.1138	0.1276	0.07942	0.02209	0.09363	0.0393	0.0467	0.0002588	0.02542	0.08662	0.03597	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax koreense"	"S"	1842727	239	12	27	127	89	NA	107	239	4	126	237	118	NA	0.164	0.08532	0.164	0.05542	0.02657	NA	0.05191	0.1015	0.001035	0.05338	0.07576	0.05659	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Polaromonas"	"G"	52972	15224	501	1244	4320	5245	31	4915	10811	36	5972	15224	6217	10	7.557	3.562	7.557	1.885	1.566	2.903	2.384	4.59	0.009317	2.53	4.866	2.982	2.899	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Polaromonas naphthalenivorans"	"S"	216465	7074	256	640	1794	1884	14	2184	4973	17	2059	7074	2799	4	3.888	1.82	3.888	0.7829	0.5625	1.311	1.06	2.111	0.0044	0.8723	2.261	1.342	1.159	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. SP1"	"S"	2268087	7788	236	565	2393	3178	17	2572	5533	18	3696	7788	3254	6	3.432	1.678	3.432	1.044	0.9488	1.592	1.248	2.349	0.004659	1.566	2.489	1.561	1.739	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. JS666"	"S"	296591	361	8	38	132	182	NA	158	304	1	216	361	163	NA	0.2308	0.05688	0.2308	0.0576	0.05433	NA	0.07665	0.1291	0.0002588	0.09151	0.1154	0.07817	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Variovorax"	"G"	34072	11288	405	816	5088	2891	20	3300	6364	26	3460	11288	4264	3	4.957	2.88	4.957	2.22	0.8631	1.873	1.601	2.702	0.006729	1.466	3.608	2.045	0.8696	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Variovorax boronicumulans"	"S"	436515	9842	334	707	3947	2523	18	2849	5541	24	3014	9842	3718	3	4.295	2.375	4.295	1.722	0.7532	1.685	1.382	2.353	0.006212	1.277	3.146	1.783	0.8696	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PAMC 28711"	"S"	1795631	868	39	59	868	214	NA	241	392	NA	191	710	258	NA	0.3788	0.2773	0.3584	0.3788	0.06389	NA	0.1169	0.1664	NA	0.08092	0.2269	0.1237	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. HW608"	"S"	1034889	388	11	24	91	88	1	104	225	NA	126	388	150	NA	0.1458	0.07821	0.1458	0.03971	0.02627	0.09363	0.05045	0.09553	NA	0.05338	0.124	0.07194	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus"	"S"	34073	139	9	6	139	20	NA	41	46	NA	21	101	40	NA	0.06399	0.06399	0.03645	0.06066	0.005971	NA	0.01989	0.01953	NA	0.008897	0.03228	0.01918	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PMC12"	"S"	2126319	246	11	19	42	45	NA	64	159	NA	107	246	97	NA	0.1154	0.07821	0.1154	0.01833	0.01343	NA	0.03105	0.06751	NA	0.04533	0.07863	0.04652	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Serpentinomonas"	"G"	2490452	6714	278	439	1773	1514	9	2169	3462	8	2084	6714	2142	3	2.667	1.977	2.667	0.7737	0.452	0.8427	1.052	1.47	0.002071	0.8829	2.146	1.027	0.8696	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Serpentinomonas mccroryi"	"S"	1458426	6615	277	430	1705	1464	9	2124	3396	8	2040	6615	2098	NA	2.612	1.97	2.612	0.744	0.4371	0.8427	1.03	1.442	0.002071	0.8642	2.114	1.006	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Serpentinomonas raichei"	"S"	1458425	98	1	8	67	50	NA	44	66	NA	43	98	44	NA	0.0486	0.00711	0.0486	0.02924	0.01493	NA	0.02135	0.02802	NA	0.01822	0.03133	0.0211	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Hydrogenophaga"	"G"	47420	11721	401	1048	3998	3101	23	3993	5865	30	4115	11721	4486	10	6.366	2.851	6.366	1.745	0.9258	2.154	1.937	2.49	0.007764	1.743	3.747	2.151	2.899	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Hydrogenophaga sp. PBC"	"S"	795665	8961	305	902	3236	2398	21	3249	4627	27	3350	8961	3510	9	5.479	2.169	5.479	1.412	0.7159	1.966	1.576	1.964	0.006988	1.419	2.864	1.683	2.609	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga crassostreae"	"S"	1763535	559	17	16	154	168	NA	149	302	NA	170	559	200	NA	0.1787	0.1209	0.09719	0.0672	0.05016	NA	0.07228	0.1282	NA	0.07202	0.1787	0.09592	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. RAC07"	"S"	1842537	492	13	35	175	123	NA	117	268	NA	132	492	189	NA	0.2126	0.09243	0.2126	0.07637	0.03672	NA	0.05676	0.1138	NA	0.05592	0.1573	0.09064	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Curvibacter"	"G"	281915	2727	117	224	947	817	7	994	1906	5	1039	2727	1194	NA	1.361	0.8319	1.361	0.4133	0.2439	0.6554	0.4822	0.8092	0.001294	0.4402	0.8717	0.5726	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Curvibacter sp. AEP1-3"	"S"	1844971	2727	117	224	947	817	7	994	1906	5	1039	2727	1194	NA	1.361	0.8319	1.361	0.4133	0.2439	0.6554	0.4822	0.8092	0.001294	0.4402	0.8717	0.5726	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Curvibacter"
"Simplicispira"	"G"	352450	4579	162	172	4469	854	8	1011	929	11	747	4579	994	NA	1.95	1.152	1.045	1.95	0.255	0.7491	0.4905	0.3944	0.002847	0.3165	1.464	0.4767	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Simplicispira suum"	"S"	2109915	4579	162	172	4469	854	8	1011	929	11	747	4579	994	NA	1.95	1.152	1.045	1.95	0.255	0.7491	0.4905	0.3944	0.002847	0.3165	1.464	0.4767	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"Ramlibacter"	"G"	174951	2204	74	128	891	594	4	669	1234	4	711	2204	828	2	0.7775	0.5262	0.7775	0.3888	0.1773	0.3745	0.3246	0.5239	0.001035	0.3012	0.7045	0.3971	0.5797	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ramlibacter tataouinensis"	"S"	94132	2204	74	128	891	594	4	669	1234	4	711	2204	828	2	0.7775	0.5262	0.7775	0.3888	0.1773	0.3745	0.3246	0.5239	0.001035	0.3012	0.7045	0.3971	0.5797	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter"
"Candidatus Symbiobacter"	"G"	1436289	1993	71	171	711	536	2	638	1124	10	635	1993	754	1	1.039	0.5048	1.039	0.3103	0.16	0.1873	0.3095	0.4772	0.002588	0.269	0.637	0.3616	0.2899	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Candidatus Symbiobacter mobilis"	"S"	1436290	1993	71	171	711	536	2	638	1124	10	635	1993	754	1	1.039	0.5048	1.039	0.3103	0.16	0.1873	0.3095	0.4772	0.002588	0.269	0.637	0.3616	0.2899	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Candidatus&nbsp;Symbiobacter"
"Delftia"	"G"	80865	1710	50	120	516	428	3	499	907	4	559	1710	571	NA	0.729	0.3555	0.729	0.2252	0.1278	0.2809	0.2421	0.3851	0.001035	0.2368	0.5466	0.2738	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Delftia sp. Cs1-4"	"S"	742013	1709	50	120	507	427	NA	482	889	NA	540	1709	559	NA	0.729	0.3555	0.729	0.2212	0.1275	NA	0.2338	0.3774	NA	0.2288	0.5463	0.2681	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Ottowia"	"G"	219181	1464	48	57	580	453	1	401	524	3	322	1464	399	NA	0.468	0.3413	0.3463	0.2531	0.1352	0.09363	0.1945	0.2225	0.0007764	0.1364	0.468	0.1914	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ottowia sp. oral taxon 894"	"S"	1658672	802	30	24	383	261	NA	203	276	NA	134	802	156	NA	0.2564	0.2133	0.1458	0.1671	0.07792	NA	0.09848	0.1172	NA	0.05677	0.2564	0.07482	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Ottowia oryzae"	"S"	2109914	657	17	33	189	190	1	195	247	3	185	657	241	NA	0.21	0.1209	0.2005	0.08248	0.05672	0.09363	0.0946	0.1049	0.0007764	0.07838	0.21	0.1156	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Comamonas"	"G"	283	1984	71	124	925	388	7	403	804	5	505	1984	645	2	0.7532	0.5048	0.7532	0.4037	0.1158	0.6554	0.1955	0.3414	0.001294	0.2139	0.6342	0.3093	0.5797	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Comamonas testosteroni"	"S"	285	1611	56	106	787	274	7	294	630	5	394	1611	531	1	0.6554	0.3982	0.6439	0.3434	0.0818	0.6554	0.1426	0.2675	0.001294	0.1669	0.5149	0.2547	0.2899	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas kerstersii"	"S"	225992	189	6	7	75	55	NA	71	107	NA	59	189	59	1	0.2899	0.04266	0.04252	0.03273	0.01642	NA	0.03444	0.04543	NA	0.025	0.06041	0.0283	0.2899	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Verminephrobacter"	"G"	364316	1001	26	78	410	261	1	318	516	4	321	1001	348	NA	0.4738	0.1849	0.4738	0.1789	0.07792	0.09363	0.1543	0.2191	0.001035	0.136	0.32	0.1669	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Verminephrobacter eiseniae"	"S"	364317	1001	26	78	410	261	1	318	516	4	321	1001	348	NA	0.4738	0.1849	0.4738	0.1789	0.07792	0.09363	0.1543	0.2191	0.001035	0.136	0.32	0.1669	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter"
"Melaminivora"	"G"	1649468	330	24	30	166	125	NA	115	207	NA	126	330	130	1	0.2899	0.1706	0.1822	0.07244	0.03732	NA	0.05579	0.08789	NA	0.05338	0.1055	0.06235	0.2899	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Melaminivora sp. SC2-7"	"S"	2116657	106	8	8	42	32	NA	38	61	NA	44	106	42	1	0.2899	0.05688	0.0486	0.01833	0.009553	NA	0.01843	0.0259	NA	0.01864	0.03388	0.02014	0.2899	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Melaminivora sp. SC2-9"	"S"	2109913	205	13	20	108	93	NA	69	136	NA	64	205	81	NA	0.1215	0.09243	0.1215	0.04713	0.02776	NA	0.03347	0.05774	NA	0.02711	0.06553	0.03885	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Alicycliphilus"	"G"	201096	108	3	4	26	17	NA	33	52	3	22	108	40	NA	0.03452	0.02133	0.0243	0.01135	0.005075	NA	0.01601	0.02208	0.0007764	0.00932	0.03452	0.01918	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Alicycliphilus denitrificans"	"S"	179636	108	3	4	26	17	NA	33	52	3	22	108	40	NA	0.03452	0.02133	0.0243	0.01135	0.005075	NA	0.01601	0.02208	0.0007764	0.00932	0.03452	0.01918	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Alicycliphilus"
"Burkholderiaceae"	"F"	119060	7820	474	269	7820	4478	24	2979	3617	19	2403	6516	4097	6	3.413	3.37	1.634	3.413	1.337	2.247	1.445	1.536	0.004918	1.018	2.083	1.965	1.739	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Burkholderia"	"G"	32008	5087	274	145	5087	2687	18	1653	1732	7	1266	3727	1836	4	2.22	1.948	0.8808	2.22	0.8022	1.685	0.8019	0.7354	0.001812	0.5363	1.191	0.8805	1.159	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae"
"pseudomallei group"	"-"	111527	1607	108	70	1553	1026	12	556	678	1	428	1607	736	2	1.124	0.7679	0.4252	0.6777	0.3063	1.124	0.2697	0.2879	0.0002588	0.1813	0.5137	0.353	0.5797	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia pseudomallei"	"S"	28450	935	64	29	923	540	3	275	330	NA	189	935	307	1	0.4551	0.4551	0.1762	0.4028	0.1612	0.2809	0.1334	0.1401	NA	0.08007	0.2989	0.1472	0.2899	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Burkholderia thailandensis"	"S"	57975	405	28	32	405	290	6	151	190	NA	140	361	251	1	0.5618	0.1991	0.1944	0.1767	0.08658	0.5618	0.07325	0.08067	NA	0.05931	0.1154	0.1204	0.2899	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Burkholderia mallei"	"S"	13373	205	11	6	161	112	2	83	94	NA	54	205	96	NA	0.1873	0.07821	0.03645	0.07026	0.03344	0.1873	0.04027	0.03991	NA	0.02288	0.06553	0.04604	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Burkholderia oklahomensis"	"S"	342113	103	4	3	61	78	NA	45	63	1	44	103	78	NA	0.03741	0.02844	0.01822	0.02662	0.02329	NA	0.02183	0.02675	0.0002588	0.01864	0.03292	0.03741	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Burkholderia cepacia complex"	"-"	87882	2153	94	73	2153	882	5	740	632	6	595	1102	619	2	0.9395	0.6684	0.4434	0.9395	0.2633	0.4682	0.359	0.2683	0.001553	0.2521	0.3522	0.2969	0.5797	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia cenocepacia"	"S"	95486	1883	80	40	1883	644	4	237	298	5	222	836	273	1	0.8217	0.5688	0.243	0.8217	0.1923	0.3745	0.115	0.1265	0.001294	0.09405	0.2672	0.1309	0.2899	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Burkholderia vietnamiensis"	"S"	60552	425	5	21	90	120	NA	425	234	1	320	38	254	NA	0.2062	0.03555	0.1276	0.03927	0.03583	NA	0.2062	0.09935	0.0002588	0.1356	0.01215	0.1218	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Burkholderia ambifaria"	"S"	152480	42	3	NA	40	20	NA	14	20	NA	5	42	9	1	0.2899	0.02133	NA	0.01746	0.005971	NA	0.006792	0.008491	NA	0.002118	0.01343	0.004316	0.2899	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Burkholderia ubonensis"	"S"	101571	81	2	3	57	39	1	15	32	NA	9	81	25	NA	0.09363	0.01422	0.01822	0.02487	0.01164	0.09363	0.007277	0.01359	NA	0.003813	0.02589	0.01199	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Burkholderia contaminans"	"S"	488447	8	1	NA	5	8	NA	5	2	NA	1	5	3	NA	0.00711	0.00711	NA	0.002182	0.002388	NA	0.002426	0.0008491	NA	0.0004237	0.001598	0.001439	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Burkholderia diffusa"	"S"	488732	8	1	1	NA	1	NA	8	2	NA	2	NA	6	NA	0.00711	0.00711	0.006075	NA	0.0002985	NA	0.003881	0.0008491	NA	0.0008473	NA	0.002878	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Burkholderia cepacia"	"S"	292	41	1	NA	33	22	NA	20	18	NA	11	41	25	NA	0.0144	0.00711	NA	0.0144	0.006568	NA	0.009703	0.007642	NA	0.00466	0.01311	0.01199	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
