"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_april_BC01.cladeReads"	"kraken2_16s_classification_april_BC02.cladeReads"	"kraken2_16s_classification_april_BC03.cladeReads"	"kraken2_16s_classification_april_BC04.cladeReads"	"kraken2_16s_classification_april_BC05.cladeReads"	"kraken2_16s_classification_april_BC06.cladeReads"	"kraken2_16s_classification_april_BC07.cladeReads"	"kraken2_16s_classification_april_BC08.cladeReads"	"kraken2_16s_classification_april_BC09.cladeReads"	"kraken2_16s_classification_april_BC10.cladeReads"	"kraken2_16s_classification_april_BC11.cladeReads"	"kraken2_16s_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_april_BC01.cladeReads.."	"kraken2_16s_classification_april_BC02.cladeReads.."	"kraken2_16s_classification_april_BC03.cladeReads.."	"kraken2_16s_classification_april_BC04.cladeReads.."	"kraken2_16s_classification_april_BC05.cladeReads.."	"kraken2_16s_classification_april_BC06.cladeReads.."	"kraken2_16s_classification_april_BC07.cladeReads.."	"kraken2_16s_classification_april_BC08.cladeReads.."	"kraken2_16s_classification_april_BC09.cladeReads.."	"kraken2_16s_classification_april_BC10.cladeReads.."	"kraken2_16s_classification_april_BC11.cladeReads.."	"kraken2_16s_classification_april_BC12.cladeReads.."	"lineage"
"Acidovorax"	"G"	26355	18193	530	849	5959	3257	25	3738	6851	36	4051	18193	5067	3	5.738	3.715	5.222	2.525	0.9344	2.197	1.651	2.777	0.009418	1.596	5.738	2.314	0.813	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Massilia"	"G"	26414	9233	354	400	3786	3676	13	3118	4526	23	3402	9233	4510	2	2.912	2.481	2.46	1.604	1.055	1.142	1.377	1.834	0.006017	1.34	2.912	2.059	0.542	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Aquabacterium"	"G"	26361	11063	306	391	4070	2986	11	2734	3307	20	2723	11063	3498	2	3.489	2.145	2.405	1.724	0.8567	0.9666	1.208	1.34	0.005232	1.073	3.489	1.597	0.542	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	5521	259	316	4650	3060	10	1753	2939	13	1755	5521	2420	4	1.97	1.816	1.944	1.97	0.8779	0.8787	0.7743	1.191	0.003401	0.6915	1.741	1.105	1.084	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Variovorax"	"G"	26462	6564	235	469	2694	1833	11	2026	4025	17	2096	6564	2565	4	2.885	1.647	2.885	1.141	0.5259	0.9666	0.8949	1.631	0.004447	0.8259	2.07	1.171	1.084	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"uncultured"	"G"	26471	5182	203	300	2575	1713	11	1574	2566	9	1573	5182	1841	1	1.845	1.423	1.845	1.091	0.4914	0.9666	0.6952	1.04	0.002355	0.6198	1.634	0.8406	0.271	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polaromonas"	"G"	26436	6965	196	469	2116	2179	11	2024	4473	14	2405	6965	2475	2	2.885	1.374	2.885	0.8965	0.6251	0.9666	0.894	1.813	0.003663	0.9476	2.197	1.13	0.542	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Delftia"	"G"	26388	6329	185	433	2235	1608	25	1842	3741	25	2278	6329	2358	2	2.663	1.297	2.663	0.947	0.4613	2.197	0.8136	1.516	0.00654	0.8976	1.996	1.077	0.542	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polynucleobacter"	"G"	26437	2427	158	148	1250	1415	6	1218	1895	7	1230	1885	2427	1	1.108	1.108	0.9104	0.5296	0.406	0.5272	0.538	0.768	0.001831	0.4847	0.5945	1.108	0.271	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Simplicispira"	"G"	26452	4231	138	272	1671	1104	4	1164	2355	4	1300	4231	1490	NA	1.673	0.9673	1.673	0.708	0.3167	0.3515	0.5141	0.9545	0.001046	0.5122	1.334	0.6804	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hydrogenophaga"	"G"	26399	5130	126	233	1337	1201	10	1165	1923	11	1362	5130	1686	2	1.618	0.8832	1.433	0.5665	0.3446	0.8787	0.5146	0.7794	0.002878	0.5367	1.618	0.7699	0.542	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Achromobacter"	"G"	26354	3367	122	185	2116	1495	5	1080	1403	1	999	3367	1594	1	1.138	0.8552	1.138	0.8965	0.4289	0.4394	0.477	0.5686	0.0002616	0.3936	1.062	0.7279	0.271	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelomonas"	"G"	26433	3662	120	243	1370	1005	7	1143	2145	9	1318	3662	1375	2	1.495	0.8412	1.495	0.5805	0.2883	0.6151	0.5049	0.8694	0.002355	0.5193	1.155	0.6279	0.542	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	3159	110	172	1164	779	5	748	1436	12	809	3159	1005	2	1.058	0.7711	1.058	0.4932	0.2235	0.4394	0.3304	0.582	0.003139	0.3188	0.9963	0.4589	0.542	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhizobacter"	"G"	26445	1614	53	72	951	521	1	447	755	4	436	1614	572	NA	0.5091	0.3715	0.4429	0.4029	0.1495	0.08787	0.1974	0.306	0.001046	0.1718	0.5091	0.2612	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Cupriavidus"	"G"	26386	960	50	65	716	496	6	307	515	7	357	960	452	NA	0.5272	0.3505	0.3998	0.3034	0.1423	0.5272	0.1356	0.2087	0.001831	0.1407	0.3028	0.2064	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Janthinobacterium"	"G"	26403	1061	47	71	443	397	1	323	520	5	366	1061	548	NA	0.4367	0.3295	0.4367	0.1877	0.1139	0.08787	0.1427	0.2108	0.001308	0.1442	0.3346	0.2502	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	924	47	68	528	232	NA	247	466	NA	291	924	308	1	0.4183	0.3295	0.4183	0.2237	0.06656	NA	0.1091	0.1889	NA	0.1147	0.2914	0.1406	0.271	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ralstonia"	"G"	26443	735	47	46	609	464	NA	272	422	5	237	735	477	NA	0.3295	0.3295	0.283	0.258	0.1331	NA	0.1201	0.171	0.001308	0.09339	0.2318	0.2178	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Symbiobacter"	"G"	26377	1031	40	86	356	333	1	323	666	2	404	1031	404	NA	0.529	0.2804	0.529	0.1508	0.09554	0.08787	0.1427	0.2699	0.0005232	0.1592	0.3252	0.1845	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	911	37	69	391	238	NA	295	572	1	281	911	384	1	0.4244	0.2594	0.4244	0.1657	0.06828	NA	0.1303	0.2318	0.0002616	0.1107	0.2873	0.1753	0.271	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herbaspirillum"	"G"	26397	708	33	26	349	348	NA	254	435	1	303	708	423	NA	0.2313	0.2313	0.1599	0.1479	0.09984	NA	0.1122	0.1763	0.0002616	0.1194	0.2233	0.1932	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Undibacterium"	"G"	26461	565	32	53	314	316	4	353	406	5	291	565	388	1	0.3515	0.2243	0.326	0.133	0.09066	0.3515	0.1559	0.1646	0.001308	0.1147	0.1782	0.1772	0.271	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Noviherbaspirillum"	"G"	26418	553	30	26	336	277	NA	202	264	4	202	553	302	NA	0.2103	0.2103	0.1599	0.1424	0.07947	NA	0.08922	0.107	0.001046	0.07959	0.1744	0.1379	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ramlibacter"	"G"	26444	1212	28	90	492	360	1	399	641	4	438	1212	508	NA	0.5536	0.1963	0.5536	0.2085	0.1033	0.08787	0.1762	0.2598	0.001046	0.1726	0.3823	0.232	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Curvibacter"	"G"	26387	837	27	73	328	251	3	281	469	4	310	837	323	NA	0.449	0.1893	0.449	0.139	0.07201	0.2636	0.1241	0.1901	0.001046	0.1221	0.264	0.1475	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"MWH-UniP1 aquatic group"	"G"	26411	801	26	34	386	253	3	224	490	5	267	801	310	2	0.542	0.1823	0.2091	0.1635	0.07258	0.2636	0.09894	0.1986	0.001308	0.1052	0.2526	0.1416	0.542	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herminiimonas"	"G"	26398	373	22	19	143	184	NA	118	246	2	151	373	238	NA	0.1542	0.1542	0.1169	0.06059	0.05279	NA	0.05212	0.0997	0.0005232	0.0595	0.1176	0.1087	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sphaerotilus"	"G"	26453	616	21	34	339	201	NA	166	284	1	204	616	223	NA	0.2091	0.1472	0.2091	0.1436	0.05767	NA	0.07332	0.1151	0.0002616	0.08038	0.1943	0.1018	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Lautropia"	"G"	26407	405	20	16	405	172	NA	108	117	1	95	315	128	NA	0.1716	0.1402	0.09842	0.1716	0.04935	NA	0.0477	0.04742	0.0002616	0.03743	0.09935	0.05845	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudorhodoferax"	"G"	26440	653	20	40	204	148	1	165	325	3	170	653	218	NA	0.246	0.1402	0.246	0.08643	0.04246	0.08787	0.07288	0.1317	0.0007849	0.06699	0.206	0.09954	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	506	19	39	189	178	NA	130	318	1	179	506	194	NA	0.2399	0.1332	0.2399	0.08008	0.05107	NA	0.05742	0.1289	0.0002616	0.07053	0.1596	0.08858	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alcaligenes"	"G"	26358	513	19	24	338	238	1	160	197	1	170	513	252	NA	0.1618	0.1332	0.1476	0.1432	0.06828	0.08787	0.07067	0.07984	0.0002616	0.06699	0.1618	0.1151	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ideonella"	"G"	26401	408	16	29	282	113	1	103	195	NA	125	408	127	NA	0.1784	0.1122	0.1784	0.1195	0.03242	0.08787	0.04549	0.07903	NA	0.04925	0.1287	0.05799	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnobacter"	"G"	26409	238	13	11	238	142	NA	74	84	2	70	201	92	NA	0.1008	0.09113	0.06766	0.1008	0.04074	NA	0.03269	0.03405	0.0005232	0.02758	0.06339	0.04201	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caenimonas"	"G"	26370	272	13	25	272	99	NA	85	138	2	82	270	101	NA	0.1538	0.09113	0.1538	0.1152	0.0284	NA	0.03754	0.05593	0.0005232	0.03231	0.08516	0.04612	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xylophilus"	"G"	26466	303	13	28	181	80	NA	92	165	1	99	303	129	NA	0.1722	0.09113	0.1722	0.07669	0.02295	NA	0.04064	0.06687	0.0002616	0.03901	0.09557	0.0589	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Duganella"	"G"	26391	409	12	16	195	175	1	131	176	1	163	409	242	NA	0.129	0.08412	0.09842	0.08262	0.05021	0.08787	0.05786	0.07133	0.0002616	0.06423	0.129	0.1105	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Malikia"	"G"	26413	239	10	15	73	53	1	60	105	NA	61	239	71	NA	0.09227	0.0701	0.09227	0.03093	0.01521	0.08787	0.0265	0.04256	NA	0.02404	0.07538	0.03242	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Roseateles"	"G"	26448	244	9	5	217	67	1	53	76	NA	53	244	64	NA	0.09194	0.06309	0.03076	0.09194	0.01922	0.08787	0.02341	0.0308	NA	0.02088	0.07696	0.02922	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paucibacter"	"G"	26430	180	8	8	106	83	NA	54	83	1	55	180	72	NA	0.05677	0.05608	0.04921	0.04491	0.02381	NA	0.02385	0.03364	0.0002616	0.02167	0.05677	0.03288	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Collimonas"	"G"	26383	189	8	12	78	101	NA	76	118	NA	81	189	108	NA	0.07381	0.05608	0.07381	0.03305	0.02898	NA	0.03357	0.04783	NA	0.03192	0.05961	0.04932	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"AAP99"	"G"	26353	440	8	7	440	42	NA	51	30	NA	22	114	23	NA	0.1864	0.05608	0.04306	0.1864	0.01205	NA	0.02253	0.01216	NA	0.008669	0.03596	0.0105	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rubrivivax"	"G"	26449	110	7	6	110	32	NA	17	21	1	20	74	22	NA	0.04907	0.04907	0.03691	0.04661	0.009181	NA	0.007509	0.008511	0.0002616	0.007881	0.02334	0.01005	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parasutterella"	"G"	26429	231	6	16	231	133	NA	61	95	NA	49	184	86	NA	0.09842	0.04206	0.09842	0.09787	0.03816	NA	0.02694	0.0385	NA	0.01931	0.05803	0.03927	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alicycliphilus"	"G"	26359	157	6	9	58	31	1	30	78	1	35	157	52	NA	0.08787	0.04206	0.05536	0.02457	0.008894	0.08787	0.01325	0.03161	0.0002616	0.01379	0.04952	0.02374	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Bordetella"	"G"	26365	138	6	3	138	82	NA	44	49	NA	40	117	57	NA	0.05847	0.04206	0.01845	0.05847	0.02353	NA	0.01943	0.01986	NA	0.01576	0.0369	0.02603	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"GKS98 freshwater group"	"G"	26394	558	6	14	211	192	NA	163	94	NA	133	558	327	1	0.271	0.04206	0.08612	0.0894	0.05508	NA	0.072	0.0381	NA	0.05241	0.176	0.1493	0.271	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Macromonas"	"G"	26412	183	5	17	80	31	1	42	95	NA	65	183	62	NA	0.1046	0.03505	0.1046	0.0339	0.008894	0.08787	0.01855	0.0385	NA	0.02561	0.05772	0.02831	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Aquaspirillum] arcticum group"	"G"	26468	180	5	10	61	44	1	55	113	NA	58	180	74	NA	0.08787	0.03505	0.06151	0.02585	0.01262	0.08787	0.02429	0.0458	NA	0.02285	0.05677	0.03379	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verminephrobacter"	"G"	26463	100	5	6	31	29	NA	26	57	1	36	100	47	NA	0.03691	0.03505	0.03691	0.01313	0.00832	NA	0.01148	0.0231	0.0002616	0.01419	0.03154	0.02146	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pusillimonas"	"G"	26441	68	5	4	58	42	1	28	46	NA	31	68	35	NA	0.08787	0.03505	0.0246	0.02457	0.01205	0.08787	0.01237	0.01864	NA	0.01221	0.02145	0.01598	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Vidania"	"G"	26379	95	5	6	54	27	NA	24	38	NA	26	95	28	NA	0.03691	0.03505	0.03691	0.02288	0.007746	NA	0.0106	0.0154	NA	0.01024	0.02996	0.01279	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudacidovorax"	"G"	26438	121	4	4	37	39	NA	26	59	NA	40	121	39	NA	0.03816	0.02804	0.0246	0.01568	0.01119	NA	0.01148	0.02391	NA	0.01576	0.03816	0.01781	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parapusillimonas"	"G"	26428	40	4	1	40	33	1	11	7	NA	5	39	18	1	0.271	0.02804	0.006151	0.01695	0.009467	0.08787	0.004859	0.002837	NA	0.00197	0.0123	0.008219	0.271	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xenophilus"	"G"	26465	72	3	4	48	27	NA	20	30	NA	28	72	30	NA	0.0246	0.02103	0.0246	0.02034	0.007746	NA	0.008834	0.01216	NA	0.01103	0.02271	0.0137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verticia"	"G"	26464	97	3	2	68	29	NA	18	21	1	21	97	45	NA	0.03059	0.02103	0.0123	0.02881	0.00832	NA	0.00795	0.008511	0.0002616	0.008275	0.03059	0.02055	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Thiomonas"	"G"	26459	108	3	11	75	41	NA	32	47	NA	24	108	45	NA	0.06766	0.02103	0.06766	0.03178	0.01176	NA	0.01413	0.01905	NA	0.009457	0.03406	0.02055	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Inhella"	"G"	26402	81	3	1	42	18	NA	23	30	NA	22	81	16	NA	0.02555	0.02103	0.006151	0.0178	0.005164	NA	0.01016	0.01216	NA	0.008669	0.02555	0.007306	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Giesbergeria"	"G"	26395	33	3	3	8	6	NA	11	12	NA	7	33	7	NA	0.02103	0.02103	0.01845	0.00339	0.001721	NA	0.004859	0.004864	NA	0.002758	0.01041	0.003196	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Methylibium"	"G"	26415	26	3	1	10	13	NA	4	7	NA	5	26	6	NA	0.02103	0.02103	0.006151	0.004237	0.00373	NA	0.001767	0.002837	NA	0.00197	0.0082	0.00274	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caldimonas"	"G"	26371	9	2	1	7	9	NA	5	8	NA	4	9	9	NA	0.01402	0.01402	0.006151	0.002966	0.002582	NA	0.002208	0.003242	NA	0.001576	0.002839	0.00411	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Extensimonas"	"G"	26393	46	2	4	27	16	NA	12	22	NA	20	46	23	NA	0.0246	0.01402	0.0246	0.01144	0.00459	NA	0.0053	0.008917	NA	0.007881	0.01451	0.0105	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalobacter"	"G"	26423	47	2	1	25	13	NA	17	17	NA	10	47	15	NA	0.01482	0.01402	0.006151	0.01059	0.00373	NA	0.007509	0.00689	NA	0.00394	0.01482	0.006849	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Castellaniella"	"G"	26382	67	2	3	40	25	NA	19	25	NA	23	67	23	NA	0.02113	0.01402	0.01845	0.01695	0.007172	NA	0.008392	0.01013	NA	0.009063	0.02113	0.0105	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pandoraea"	"G"	26425	79	2	5	56	38	NA	19	32	4	22	79	23	NA	0.03076	0.01402	0.03076	0.02373	0.0109	NA	0.008392	0.01297	0.001046	0.008669	0.02492	0.0105	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Actimicrobium"	"G"	26356	12	2	NA	5	7	NA	3	12	NA	6	9	12	NA	0.01402	0.01402	NA	0.002118	0.002008	NA	0.001325	0.004864	NA	0.002364	0.002839	0.005479	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tibeticola"	"G"	26460	126	2	5	41	20	NA	43	72	1	45	126	44	NA	0.03974	0.01402	0.03076	0.01737	0.005738	NA	0.01899	0.02918	0.0002616	0.01773	0.03974	0.02009	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sutterella"	"G"	26454	104	2	4	59	58	NA	31	49	NA	39	104	67	NA	0.0328	0.01402	0.0246	0.025	0.01664	NA	0.01369	0.01986	NA	0.01537	0.0328	0.03059	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"CM1G08"	"G"	26369	69	2	2	15	32	NA	35	35	NA	11	69	14	NA	0.02176	0.01402	0.0123	0.006355	0.009181	NA	0.01546	0.01419	NA	0.004334	0.02176	0.006393	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"RS62 marine group"	"G"	26442	70	2	11	44	39	NA	23	44	NA	32	70	30	NA	0.06766	0.01402	0.06766	0.01864	0.01119	NA	0.01016	0.01783	NA	0.01261	0.02208	0.0137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oligella"	"G"	26419	8	1	NA	8	6	NA	4	5	NA	1	8	2	NA	0.00701	0.00701	NA	0.00339	0.001721	NA	0.001767	0.002027	NA	0.000394	0.002523	0.0009132	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paucimonas"	"G"	26431	2	1	1	2	NA	NA	NA	NA	NA	NA	1	2	NA	0.00701	0.00701	0.006151	0.0008474	NA	NA	NA	NA	NA	NA	0.0003154	0.0009132	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Mitsuaria"	"G"	26416	33	1	3	33	8	NA	11	10	NA	9	33	18	NA	0.01845	0.00701	0.01845	0.01398	0.002295	NA	0.004859	0.004053	NA	0.003546	0.01041	0.008219	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
