"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_loman_loman_bracken.kreport.cladeReads"	"Max.1"	"kraken2_16s_classification_loman_loman_bracken.kreport.cladeReads.."	"lineage"
"Ureibacillus"	"G"	1726	8	8	0.0002576	0.0002576	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Fictibacillus"	"G"	1694	7	7	0.0002254	0.0002254	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Gracilibacillus"	"G"	1698	6	6	0.0001932	0.0001932	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Marinococcus"	"G"	1703	6	6	0.0001932	0.0001932	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"uncultured"	"G"	1729	3	3	9.661e-05	9.661e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Salimicrobium"	"G"	1714	3	3	9.661e-05	9.661e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Pseudogracilibacillus"	"G"	14352	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Cerasibacillus"	"G"	1692	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Geomicrobium"	"G"	1697	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Thalassobacillus"	"G"	1725	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Terribacillus"	"G"	1723	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Halolactibacillus"	"G"	1701	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Hydrogenibacillus"	"G"	14350	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Pontibacillus"	"G"	1712	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Piscibacillus"	"G"	1711	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Alteribacillus"	"G"	1683	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Calditerricola"	"G"	1691	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Halalkalibacillus"	"G"	1699	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Caldibacillus"	"G"	1690	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Lentibacillus"	"G"	1702	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Pelagirhabdus"	"G"	14351	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Natribacillus"	"G"	1705	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Ornithinibacillus"	"G"	1708	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Streptohalobacillus"	"G"	11267	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Salibacterium"	"G"	14353	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Salinibacillus"	"G"	1715	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Amphibacillus"	"G"	1684	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Alkalibacillus"	"G"	1682	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Staphylococcaceae"	"F"	1775	6243	6243	0.201	0.201	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Staphylococcus"	"G"	1780	6224	6224	0.2004	0.2004	"Bacteria>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Salinicoccus"	"G"	1779	9	9	0.0002898	0.0002898	"Bacteria>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Jeotgalicoccus"	"G"	1776	4	4	0.0001288	0.0001288	"Bacteria>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Aliicoccus"	"G"	11276	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Nosocomiicoccus"	"G"	1778	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Macrococcus"	"G"	1777	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Listeriaceae"	"F"	1737	1909	1909	0.06147	0.06147	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Listeria"	"G"	1739	1902	1902	0.06125	0.06125	"Bacteria>Firmicutes>Bacilli>Bacillales>Listeriaceae"
"Brochothrix"	"G"	1738	5	5	0.000161	0.000161	"Bacteria>Firmicutes>Bacilli>Bacillales>Listeriaceae"
"Paenibacillaceae"	"F"	1740	419	419	0.01349	0.01349	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Paenibacillus"	"G"	1747	324	324	0.01043	0.01043	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Brevibacillus"	"G"	1743	42	42	0.001352	0.001352	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Cohnella"	"G"	1744	20	20	0.000644	0.000644	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Aneurinibacillus"	"G"	1742	7	7	0.0002254	0.0002254	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Thermobacillus"	"G"	1749	6	6	0.0001932	0.0001932	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"uncultured"	"G"	1750	5	5	0.000161	0.000161	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Ammoniphilus"	"G"	1741	5	5	0.000161	0.000161	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Desulfuribacillus"	"G"	11271	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Ammoniibacillus"	"G"	11270	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Saccharibacillus"	"G"	1748	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Oxalophagus"	"G"	1746	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Planococcaceae"	"F"	1753	249	249	0.008018	0.008018	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Lysinibacillus"	"G"	1762	98	98	0.003156	0.003156	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Planomicrobium"	"G"	1765	29	29	0.0009339	0.0009339	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Sporosarcina"	"G"	1768	23	23	0.0007406	0.0007406	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Bhargavaea"	"G"	1754	20	20	0.000644	0.000644	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Planococcus"	"G"	1764	15	15	0.000483	0.000483	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Kurthia"	"G"	1761	12	12	0.0003864	0.0003864	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Solibacillus"	"G"	1767	10	10	0.000322	0.000322	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Domibacillus"	"G"	11272	8	8	0.0002576	0.0002576	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"uncultured"	"G"	1770	6	6	0.0001932	0.0001932	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Psychrobacillus"	"G"	11273	4	4	0.0001288	0.0001288	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Paenisporosarcina"	"G"	1763	4	4	0.0001288	0.0001288	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Jeotgalibacillus"	"G"	1760	3	3	9.661e-05	9.661e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Viridibacillus"	"G"	1769	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Chryseomicrobium"	"G"	1756	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Rummeliibacillus"	"G"	1766	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Chungangia"	"G"	1757	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Savagea"	"G"	25617	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Family XII"	"F"	1734	71	71	0.002286	0.002286	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Exiguobacterium"	"G"	1735	71	71	0.002286	0.002286	"Bacteria>Firmicutes>Bacilli>Bacillales>Family&nbsp;XII"
"Alicyclobacillaceae"	"F"	1675	52	52	0.001675	0.001675	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Alicyclobacillus"	"G"	1676	26	26	0.0008373	0.0008373	"Bacteria>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae"
"Tumebacillus"	"G"	1678	11	11	0.0003542	0.0003542	"Bacteria>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae"
"Acidibacillus"	"G"	14349	6	6	0.0001932	0.0001932	"Bacteria>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae"
"Effusibacillus"	"G"	11263	5	5	0.000161	0.000161	"Bacteria>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae"
"Kyrpidia"	"G"	1677	4	4	0.0001288	0.0001288	"Bacteria>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae"
"Family XI"	"F"	1732	40	40	0.001288	0.001288	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Gemella"	"G"	1733	40	40	0.001288	0.001288	"Bacteria>Firmicutes>Bacilli>Bacillales>Family&nbsp;XI"
"Thermoactinomycetaceae"	"F"	1782	28	28	0.0009017	0.0009017	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Thermoactinomyces"	"G"	1794	5	5	0.000161	0.000161	"Bacteria>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae"
"uncultured"	"G"	1796	5	5	0.000161	0.000161	"Bacteria>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae"
"Thermoflavimicrobium"	"G"	1795	4	4	0.0001288	0.0001288	"Bacteria>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae"
"Melghirimyces"	"G"	1789	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae"
"Geothermomicrobium"	"G"	14354	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae"
"Baia"	"G"	25627	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae"
"Novibacillus"	"G"	25628	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae"
"Kroppenstedtia"	"G"	1785	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae"
"Laceyella"	"G"	1786	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae"
"Desmospora"	"G"	1783	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae"
"Risungbinella"	"G"	14355	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae"
"Shimazuella"	"G"	1793	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae"
"Sporolactobacillaceae"	"F"	1771	9	9	0.0002898	0.0002898	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Salipaludibacillus"	"G"	25620	3	3	9.661e-05	9.661e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Sporolactobacillaceae"
"Sporolactobacillus"	"G"	1773	3	3	9.661e-05	9.661e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Sporolactobacillaceae"
"Pullulanibacillus"	"G"	1772	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Sporolactobacillaceae"
"Terrilactibacillus"	"G"	25622	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Sporolactobacillaceae"
"Pasteuriaceae"	"F"	1751	9	9	0.0002898	0.0002898	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Pasteuria"	"G"	1752	9	9	0.0002898	0.0002898	"Bacteria>Firmicutes>Bacilli>Bacillales>Pasteuriaceae"
"Family X"	"F"	1730	9	9	0.0002898	0.0002898	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Thermicanus"	"G"	1731	9	9	0.0002898	0.0002898	"Bacteria>Firmicutes>Bacilli>Bacillales>Family&nbsp;X"
"Lactobacillales"	"O"	1800	19354	19354	0.6232	0.6232	"Bacteria>Firmicutes>Bacilli"
"Streptococcaceae"	"F"	1850	12469	12469	0.4015	0.4015	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Streptococcus"	"G"	1853	12418	12418	0.3999	0.3999	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Lactococcus"	"G"	1851	43	43	0.001385	0.001385	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Lactovum"	"G"	1852	5	5	0.000161	0.000161	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Anthococcus"	"G"	25629	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Lactobacillaceae"	"F"	1836	5276	5276	0.1699	0.1699	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Lactobacillus"	"G"	1837	5228	5228	0.1684	0.1684	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae"
"Pediococcus"	"G"	1838	40	40	0.001288	0.001288	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae"
"Enterococcaceae"	"F"	1828	1297	1297	0.04177	0.04177	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Enterococcus"	"G"	1831	1275	1275	0.04106	0.04106	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae"
"Tetragenococcus"	"G"	1834	11	11	0.0003542	0.0003542	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae"
"Vagococcus"	"G"	1835	4	4	0.0001288	0.0001288	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae"
"Pilibacter"	"G"	1833	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae"
"Melissococcus"	"G"	1832	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae"
"Catellicoccus"	"G"	1830	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae"
"Carnobacteriaceae"	"F"	1811	100	100	0.00322	0.00322	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Granulicatella"	"G"	1821	25	25	0.0008051	0.0008051	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Dolosigranulum"	"G"	1820	18	18	0.0005796	0.0005796	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Jeotgalibaca"	"G"	11279	10	10	0.000322	0.000322	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Alkalibacterium"	"G"	1812	8	8	0.0002576	0.0002576	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Atopostipes"	"G"	1817	8	8	0.0002576	0.0002576	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Alloiococcus"	"G"	1814	6	6	0.0001932	0.0001932	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Desemzia"	"G"	1819	5	5	0.000161	0.000161	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Carnobacterium"	"G"	1818	5	5	0.000161	0.000161	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Trichococcus"	"G"	1826	4	4	0.0001288	0.0001288	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Pisciglobus"	"G"	1825	3	3	9.661e-05	9.661e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"uncultured"	"G"	1827	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Marinilactibacillus"	"G"	1824	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Atopobacter"	"G"	1815	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Leuconostocaceae"	"F"	1839	56	56	0.001803	0.001803	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Leuconostoc"	"G"	1841	29	29	0.0009339	0.0009339	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Leuconostocaceae"
"Weissella"	"G"	1843	25	25	0.0008051	0.0008051	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Leuconostocaceae"
"Oenococcus"	"G"	1842	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Leuconostocaceae"
"Fructobacillus"	"G"	1840	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Leuconostocaceae"
"Aerococcaceae"	"F"	1802	25	25	0.0008051	0.0008051	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Aerococcus"	"G"	1804	10	10	0.000322	0.000322	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Aerococcaceae"
"Facklamia"	"G"	1807	3	3	9.661e-05	9.661e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Aerococcaceae"
"Eremococcus"	"G"	1806	3	3	9.661e-05	9.661e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Aerococcaceae"
"Abiotrophia"	"G"	1803	2	2	6.44e-05	6.44e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Aerococcaceae"
"Aerosphaera"	"G"	11278	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Aerococcaceae"
"Ignavigranum"	"G"	1809	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Aerococcaceae"
"Globicatella"	"G"	1808	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Aerococcaceae"
"Dolosicoccus"	"G"	1805	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Aerococcaceae"
"uncultured"	"F"	1855	3	3	9.661e-05	9.661e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"uncultured"	"O"	11280	1	1	3.22e-05	3.22e-05	"Bacteria>Firmicutes>Bacilli"
"Clostridia"	"C"	1859	7857	7857	0.253	0.253	"Bacteria>Firmicutes"
"Clostridiales"	"O"	1863	7609	7609	0.245	0.245	"Bacteria>Firmicutes>Clostridia"
"Lachnospiraceae"	"F"	1987	2722	2722	0.08765	0.08765	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Blautia"	"G"	1992	436	436	0.01404	0.01404	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"uncultured"	"G"	2021	407	407	0.01311	0.01311	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Roseburia"	"G"	2012	225	225	0.007245	0.007245	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae NK4A136 group"	"G"	11319	161	161	0.005185	0.005185	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Agathobacter"	"G"	25644	146	146	0.004702	0.004702	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnoclostridium"	"G"	11308	90	90	0.002898	0.002898	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae NK3A20 group"	"G"	11318	69	69	0.002222	0.002222	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"[Ruminococcus] torques group"	"G"	14377	56	56	0.001803	0.001803	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae UCG-004"	"G"	11324	42	42	0.001352	0.001352	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Anaerostipes"	"G"	1991	41	41	0.00132	0.00132	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Tyzzerella 3"	"G"	11335	40	40	0.001288	0.001288	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Epulopiscium"	"G"	1998	35	35	0.001127	0.001127	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"[Eubacterium] hallii group"	"G"	11338	35	35	0.001127	0.001127	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae UCG-001"	"G"	11321	34	34	0.001095	0.001095	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"[Eubacterium] ruminantium group"	"G"	11340	31	31	0.0009983	0.0009983	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"[Eubacterium] eligens group"	"G"	14372	30	30	0.0009661	0.0009661	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae UCG-008"	"G"	11328	29	29	0.0009339	0.0009339	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnoclostridium 5"	"G"	11312	26	26	0.0008373	0.0008373	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae ND3007 group"	"G"	11317	25	25	0.0008051	0.0008051	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Marvinbryantia"	"G"	2005	24	24	0.0007729	0.0007729	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Acetitomaculum"	"G"	1989	24	24	0.0007729	0.0007729	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae AC2044 group"	"G"	11313	21	21	0.0006762	0.0006762	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Butyrivibrio 2"	"G"	11300	19	19	0.0006118	0.0006118	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Dorea"	"G"	1997	19	19	0.0006118	0.0006118	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae XPB1014 group"	"G"	11331	18	18	0.0005796	0.0005796	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Fusicatenibacter"	"G"	11305	17	17	0.0005474	0.0005474	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospira"	"G"	2004	17	17	0.0005474	0.0005474	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Tyzzerella"	"G"	11334	17	17	0.0005474	0.0005474	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Coprococcus 2"	"G"	11302	16	16	0.0005152	0.0005152	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Oribacterium"	"G"	2008	16	16	0.0005152	0.0005152	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"[Ruminococcus] gnavus group"	"G"	14376	15	15	0.000483	0.000483	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"[Ruminococcus] gauvreauii group"	"G"	11342	15	15	0.000483	0.000483	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae UCG-006"	"G"	11326	12	12	0.0003864	0.0003864	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae NC2004 group"	"G"	11316	11	11	0.0003542	0.0003542	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"GCA-900066575"	"G"	25651	10	10	0.000322	0.000322	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
